Shipment,Date,Barge_Sample_Num,Purity ,Free_Moisture,Chloride
March20-22,3/20/2022,One-One,88.92,2,97
March20-22,3/20/2022,One-Two,88.49,1.59,97
March20-22,3/20/2022,One-Three,85.72,2.06,123
March20-22,3/20/2022,Two-One,86.2,2.88,123
March20-22,3/21/2022,Two-Two,89.54,1.4,74
March20-22,3/21/2022,Two-Three,88.82,1.76,85
March20-22,3/21/2022,Three-One,86.77,2.44,172
March20-22,3/21/2022,Three-Two,86.96,1.7,150
March20-22,3/21/2022,Three-Three,87.2,2.12,136
March20-22,3/22/2022,Four-One,86.24,2.41,143
March20-22,3/22/2022,Four-Two,86.15,2.44,164
April11-12,4/11/2022,One-One,84.91,2.69,104
April11-12,4/11/2022,One-Two,94.51,0.58,26
April11-12,4/11/2022,One-Three,86.53,2.51,80
April11-12,4/12/2022,Two-One,87.92,1.78,85
April11-12,4/12/2022,Two-Two,94.75,0.69,26
April11-12,4/12/2022,Two-Three,86.43,0.75,123
April26-28,4/26/2022,One-One,81.18,3.77,39
April26-28,4/26/2022,One-Two,93.31,0.88,27
April26-28,4/26/2022,One-Three,91.59,1.12,43
April26-28,4/26/2022,One-Four,89.78,1.12,27
April26-28,4/26/2022,One-Five,89.92,1.19,85
April26-28,4/28/2022,Two-One,90.45,0.96,26
April26-28,4/28/2022,Two-Two,95.03,0.5,26
April26-28,4/28/2022,Two-Three,96.09,0.25,26
April26-28,4/28/2022,Two-Four,86.63,1.93,26
April26-28,4/28/2022,Two-Five,90.97,0.42,26
May7-10,5/7/2022,One-One,86.58,1.81,97
May7-10,5/7/2022,One-Two,87.58,1.77,69
May7-10,5/7/2022,One-Three,88.3,1.16,74
May7-10,5/9/2022,Two-One,85.05,1.25,117
May7-10,5/10/2022,Two-Two,82.9,0.27,175
May7-10,5/10/2022,Two-Three,85.48,1.02,78
June10-13,6/10/2022,One-One,91.07,1.05,42
June10-13,6/10/2022,One-Two,92.26,1.07,114
June10-13,6/10/2022,One-Three,90.50,1.66,49
June10-13,6/11/2022,Two-One,96.09,0.19,26
June10-13,6/11/2022,Two-Two,94.65,0.33,26
June10-13,6/11/2022,Two-Three,86.67,1.62,49
June10-13,6/12/2022,Three-One,88.82,1.13,53
June10-13,6/12/2022,Three--Two,95.27,0.38,26
June10-13,6/12/2022,Three--Three,94.03,0.27,26
June10-13,6/13/2022,Four-One,89.87,0.62,49
June10-13,6/13/2022,Four-Two,90.83,0.39,36
June10-13,6/13/2022,Four-Three,92.93,0.48,26
June21-23,6/21/2022,One-One,88.49,0.99,134
June21-23,6/22/2022,One-Two,71.57,1.19,215
June21-23,6/22/2022,One-Three,87.53,0.62,121
June21-23,6/22/2022,Two-One,89.54,0.33,92
June21-23,6/23/2022,Three-One,91.40,1.99,182
June21-23,6/23/2022,Three-Two,89.92,1.64,175
Emergency,7/8/2022,Emergency,90.54,1.67,26
Emergency,7/8/2022,Emergency,93.27,1.63,26
Emergency,7/8/2022,Emergency,93.60,1.32,26
July10-13,7/10/2022,One-One,90.50,0.93,153
July10-13,7/10/2022,One-Two,89.92,0.74,175
July10-13,7/10/2022,One-Three,89.30,0.94,215
July10-13,7/12/2022,Two-One,88.15,1.33,198
July10-13,7/12/2022,Two-Two,86.39,1.82,182
July10-13,7/12/2022,Two-Three,86.96,1.82,215
July10-13,7/13/2022,Three-One,94.51,0.67,92
July10-13,7/13/2022,Three-Two,91.93,1.32,153
July10-13,7/13/2022,Three-Three,92.69,0.47,92
July20-21,7/20/2022,One-One,89.97,1.72,121
July20-21,7/20/2022,One-Two,89.92,1.84,82
July20-21,7/20/2022,One-Three,90.26,1.72,121
July20-21,7/20/2022,Two-One,94.56,0.64,60
July20-21,7/20/2022,Two-Two,90.26,1.42,92
July20-21,7/20/2022,Two-Three,89.97,1.33,87
July20-21,7/21/2022,Three-One ,91.02,1.68,109
Aug9-10,8/9/2022,One-One,91.88,0.77,82
Aug9-10,8/9/2022,One-Two,89.44,1.38,121
Aug9-10,8/9/2022,One-Three,92.55,0.54,73
Aug9-10,8/10/2022,Two-One,94.56,0.18,53
Aug9-10,8/10/2022,Two-Two,93.36,0.52,60
Aug9-10,8/10/2022,Two-Three,89.01,0.29,153
